名前,リンク
や座,https://ja.wikipedia.org/wiki/%E3%82%84%E5%BA%A7
やぎ座,https://ja.wikipedia.org/wiki/%E3%82%84%E3%81%8E%E5%BA%A7
やまねこ座,https://ja.wikipedia.org/wiki/%E3%82%84%E3%81%BE%E3%81%AD%E3%81%93%E5%BA%A7
らしんばん座,https://ja.wikipedia.org/wiki/%E3%82%89%E3%81%97%E3%82%93%E3%81%B0%E3%82%93%E5%BA%A7
りゅう座,https://ja.wikipedia.org/wiki/%E3%82%8A%E3%82%85%E3%81%86%E5%BA%A7
りゅうこつ座,https://ja.wikipedia.org/wiki/%E3%82%8A%E3%82%85%E3%81%86%E3%81%93%E3%81%A4%E5%BA%A7
りょうけん座,https://ja.wikipedia.org/wiki/%E3%82%8A%E3%82%87%E3%81%86%E3%81%91%E3%82%93%E5%BA%A7
レチクル座,https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%81%E3%82%AF%E3%83%AB%E5%BA%A7
ろ座,https://ja.wikipedia.org/wiki/%E3%82%8D%E5%BA%A7
ろくぶんぎ座,https://ja.wikipedia.org/wiki/%E3%82%8D%E3%81%8F%E3%81%B6%E3%82%93%E3%81%8E%E5%BA%A7
わし座,https://ja.wikipedia.org/wiki/%E3%82%8F%E3%81%97%E5%BA%A7
